Pore EqRadius,Cumulative Frequency of Pore Body Volume
299.6339722,0.001218237328098336
300.4946289,0.0012290017492557392
302.2013245,0.001239950627553937
303.1679993,0.0012510049103655453
303.4086914,0.001262085544305506
303.5289307,0.00127317935418848
303.769043,0.0012842995151998062
304.2481689,0.001295472378467838
304.3677368,0.001306658416921209
305.9133606,0.0013180157373300354
306.1497803,0.0013293994088672142
306.2678528,0.0013407962563474062
306.621521,0.0013522326301412904
306.621521,0.0013636690039351745
307.209137,0.0013751712551711033
308.3776855,0.001386805262048795
309.3061829,0.0013985446734398972
309.7683716,0.0014103367870877048
309.9989319,0.0014221552518638649
310.2291565,0.0014340000677683774
310.4590454,0.0014458712348012425
310.5738525,0.0014577555770194474
311.2609558,0.0014697189726227099
311.7173462,0.0014817350704826777
311.7173462,0.0014937511683426454
