BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,Breadth3d (?m) ,Length3d (?m) ,Width3d (?m) ,Thickness3d (?m) ,a,b,c,EqDiameter,Area3d (?m^2) ,Volume3d,OrientationPhi,OrientationTheta,Shape_VA3d,Sphericity,index
38444.4,23142.2,4067.98,385.088,657.992,325.441,279.633,657.992,325.441,279.633,388.091,532912,3.06E+07,48.4335,133.163,1.42862,0.887894,112
49313,9363.28,3953.28,257.512,338.408,230.894,231.154,338.408,231.154,230.894,226.957,164192,6.12E+06,28.3393,-70.8347,1.04458,0.985567,113
30985.8,9593.32,4187.33,609.52,897.749,499.251,477.253,897.749,499.251,477.253,555.451,1.11E+06,8.97E+07,33.6205,-114.734,1.51725,0.870258,114
6321.48,10000.4,3834.34,51.8154,56.7295,56.7295,51.8154,56.7295,56.7295,51.8154,64.2874,8065.75,139116,90,0,0.239733,1.60975,115
50167.6,10319.5,4877.22,1499.39,3709.95,1588.12,1302.29,3709.95,1588.12,1302.29,1466.32,1.00E+07,1.65E+09,57.3329,-12.3086,3.28939,0.672401,116
31403.6,11233.6,4306.32,1171.67,1463.55,924.246,956.588,1463.55,956.588,924.246,842.279,3.18E+06,3.13E+08,81.2706,-169.387,2.90128,0.701138,117
34819.9,23138.7,3988.13,335.798,449.904,312.333,288.77,449.904,312.333,288.77,321.437,324589,1.74E+07,64.6347,-11.0133,0.999949,1.00002,118
34319.1,7000.01,4039.13,180.889,519.895,141.067,115.575,519.895,141.067,115.575,177.364,127028,2.92E+06,50.57,-178.016,2.12353,0.778001,119
45280.2,6995.08,3931.49,165.597,220.532,94.2511,71.4717,220.532,94.2511,71.4717,128.575,50767.6,1.11E+06,45,180,0.934061,1.023,120
50012.2,8653.17,3906.88,120.58,191.052,88.4758,67.9696,191.052,88.4758,67.9696,109.93,33728.1,695579,71.5651,0,0.701184,1.12561,121
48369.7,9948.56,3886.15,60.9199,114.147,71.4004,52.2807,114.147,71.4004,52.2807,80.9971,15146.6,278232,90,0,0.396898,1.36074,122
47359.8,11010.1,4784.59,740.48,1625.98,659.211,568.929,1625.98,659.211,568.929,696.372,2.20E+06,1.77E+08,20.3499,81.5686,3.00731,0.692799,123
30635.9,13316.6,3886.15,110.545,167.997,61.9024,70.872,167.997,70.872,61.9024,102.05,28185,556463,90,90,0.639336,1.1608,124
27493.3,13855.4,3917.24,136.441,179.306,126.51,91.1546,179.306,126.51,91.1546,109.93,33278.8,695579,90,45,0.673531,1.14081,125
33554.2,9285.65,4077.79,318.182,486.989,235.753,211.328,486.989,235.753,211.328,255.803,252600,8.76E+06,72.7966,67.4658,1.8553,0.81382,126
30370.6,10871.9,4234.89,514.728,705.876,472.605,469.278,705.876,472.605,469.278,504.052,818413,6.71E+07,47.2765,87.7684,1.078,0.975276,127
31503.8,10907.1,3937.97,63.9759,117.632,56.7295,52.3424,117.632,56.7295,52.3424,80.9971,15146.6,278232,90,90,0.396898,1.36074,128
